x, y, z
3.000000, 0.000000, 56.000000
3.109375, 0.000000, 0.000007
3.437500, 0.000000, 0.000000
3.984375, 0.000000, 0.000000
4.750000, 0.000000, 0.000000
5.734375, 0.000000, 0.000000
6.937500, 0.000000, 0.000000
8.359375, 0.000000, 0.000000
10.000000, 0.000000, 0.000000
2.942356, 0.585271, 6.000000
3.049629, 0.606609, 0.000617
3.371449, 0.670623, 0.000000
3.907816, 0.777313, 0.000000
4.658730, 0.926679, 0.000000
5.624191, 1.118721, 0.000000
6.804198, 1.353439, 0.000000
8.198752, 1.630833, 0.000000
9.807853, 1.950903, 0.000000
2.771639, 1.148050, 6.000000
2.872688, 1.189906, 0.000617
3.175836, 1.315474, 0.000000
3.681082, 1.524754, 0.000000
4.388428, 1.817746, 0.000000
5.297872, 2.194450, 0.000000
6.409414, 2.654866, 0.000000
7.723055, 3.198994, 0.000000
9.238795, 3.826834, 0.000000
2.494409, 1.666711, 6.000000
2.585351, 1.727476, 0.000617
2.858177, 1.909773, 0.000000
3.312887, 2.213600, 0.000000
3.949481, 2.638959, 0.000000
4.767959, 3.185848, 0.000000
5.768321, 3.854269, 0.000000
6.950566, 4.644220, 0.000000
8.314696, 5.555702, 0.000000
2.121320, 2.121320, 6.000000
2.198660, 2.198660, 0.000617
2.430680, 2.430680, 0.000000
2.817379, 2.817379, 0.000000
3.358757, 3.358757, 0.000000
4.054815, 4.054816, 0.000000
4.905553, 4.905553, 0.000000
5.910971, 5.910971, 0.000000
7.071068, 7.071068, 0.000000
1.666711, 2.494409, 6.000000
1.727476, 2.585351, 0.000617
1.909773, 2.858177, 0.000000
2.213600, 3.312887, 0.000000
2.638958, 3.949481, 0.000000
3.185848, 4.767959, 0.000000
3.854268, 5.768321, 0.000000
4.644219, 6.950566, 0.000000
5.555702, 8.314696, 0.000000
1.148050, 2.771639, 6.000000
1.189906, 2.872688, 0.000617
1.315474, 3.175836, 0.000000
1.524754, 3.681082, 0.000000
1.817746, 4.388428, 0.000000
2.194450, 5.297872, 0.000000
2.654866, 6.409414, 0.000000
3.198994, 7.723055, 0.000000
3.826834, 9.238795, 0.000000
0.585271, 2.942356, 6.000000
0.606609, 3.049629, 0.000617
0.670623, 3.371449, 0.000000
0.777313, 3.907816, 0.000000
0.926679, 4.658730, 0.000000
1.118721, 5.624191, 0.000000
1.353438, 6.804198, 0.000000
1.630832, 8.198752, 677.801636
1.950902, 9.807853, 12.000000
-0.000000, 3.000000, 4.000000
-0.000000, 3.109375, 0.000000
-0.000000, 3.437500, 0.000000
-0.000000, 3.984375, 0.000000
-0.000000, 4.750000, 0.000000
-0.000000, 5.734375, 0.000000
-0.000000, 6.937500, 0.000000
-0.000000, 8.359375, -124.039291
-0.000000, 10.000000, 6.000000
